#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

explorers|Famous {{c1::explorers}} risked their lives to map new territories.|Famous explorers risked their lives to map new territories.|著名探险家为绘制新地区地图而冒着生命危险。|A person who investigates unknown regions.|研究未知区域的人。|explorer|noun|adventurer, voyager|
untrustworthy|He has proven to be {{c1::untrustworthy}} in the past.|He has proven to be untrustworthy in the past.|过去的经历证明他不可信。|Not able to be relied on as honest or truthful.|不可信赖的，不诚实或不真实。|untrustworthy|adjective|dishonest, unreliable|trustworthy
prospective|They discussed the project with {{c1::prospective}} clients.|They discussed the project with prospective clients.|他们与潜在客户讨论了项目。|Expected or expecting to be something particular in the future.|预期将成为或被期望成为某种特定事物。|prospective|adjective|potential, future|past
percentage|A high {{c1::percentage}} of students passed the exam.|A high percentage of students passed the exam.|高比例的学生通过了考试。|A rate, number, or amount in each hundred.|每一百中所占的比率、数字或数量。|percentage|noun|proportion, ratio|
clue|They found a crucial {{c1::clue}} at the crime scene.|They found a crucial clue at the crime scene.|他们在犯罪现场发现了一个关键线索。|A piece of evidence or information used in the detection of a crime or solving of a mystery.|用于侦破犯罪或解开谜团的证据或信息。|clue|noun|hint, pointer|
clue|Could you {{c1::clue}} me in on the new changes?|Could you clue me in on the new changes?|你能告诉我这些新变化吗？|To inform someone about a particular matter.|通知或让某人了解特定情况。|clue|verb|inform|
stammer|He tends to {{c1::stammer}} when he's nervous.|He tends to stammer when he's nervous.|他在紧张时会口吃。|To speak with sudden involuntary pauses and a tendency to repeat the initial letters of words.|说话时出现突然的、非自主的停顿，并且常常重复单词开头的字母。|stammer|verb|stutter|
stammer|His {{c1::stammer}} became less frequent after therapy.|His stammer became less frequent after therapy.|治疗后他的结巴症状减轻了。|A tendency to stammer.|说话时口吃的倾向。|stammer|noun|stutter|
hawk|A {{c1::hawk}} soared above the fields in search of food.|A hawk soared above the fields in search of food.|一只鹰在田野上空盘旋寻找食物。|A bird of prey with broad rounded wings and a long tail, typically taking prey by surprise with a short chase.|一种猛禽，通常以短暂的追逐方式捕捉猎物，具有宽阔的圆形翅膀和长尾巴。|hawk|noun||
hawk|Street vendors {{c1::hawk}} their wares to passersby.|Street vendors hawk their wares to passersby.|街头小贩向路人兜售他们的商品。|To carry about and offer (goods) for sale, typically advertising them by shouting.|四处叫卖商品，通常通过喊叫来吸引注意。|hawk|verb|peddle|
swamp|Alligators live in the {{c1::swamp}}.|Alligators live in the swamp.|短吻鳄生活在沼泽地里。|An area of low-lying, uncultivated ground where water collects; a bog or marsh.|低洼地区，积水形成的沼泽或湿地。|swamp|noun|marsh, bog|
swamped|The sudden downpour {{c1::swamped}} the fields.|The sudden downpour swamped the fields.|突然的暴雨淹没了田地。|To overwhelm or flood with water; to inundate.|被大量的水淹没；泛滥。|swamp|verb|flood, inundate|
jealous|He was {{c1::jealous}} of his friend's promotion.|He was jealous of his friend's promotion.|他嫉妒他朋友的晋升。|Feeling or showing envy of someone or their achievements and advantages.|对他人的成就或优点感到或表现出嫉妒。|jealous|adjective|envious|content
favour|She looked upon the suggestion with {{c1::favour}}.|She looked upon the suggestion with favour.|她赞成这个建议。|Approval, support, or liking for someone or something.|对某人或某事物的赞同、支持或喜爱。|favour|noun|approval|disapproval
favoured|The teacher {{c1::favoured}} group work over individual tasks.|The teacher favoured group work over individual tasks.|老师更倾向于小组合作而非个人作业。|To feel or show approval or preference for.|感到或表现出赞成或偏好。|favour|verb|prefer, approve|oppose
fickle|Public opinion can be quite {{c1::fickle}}.|Public opinion can be quite fickle.|公众舆论可能非常善变。|Changing frequently, especially as regards one's loyalties or affections.|经常改变，特别是对忠诚或感情方面。|fickle|adjective|capricious, unpredictable|constant, steady
uphill|It's an {{c1::uphill}} climb to the cabin.|It's an uphill climb to the cabin.|到小屋是一段上坡的路程。|(Adjective) Sloping upward; leading to a higher place or level.|向上倾斜；通往更高处或更高层次。|uphill|adjective|ascending|downhill
uphill|We walked {{c1::uphill}} for nearly an hour.|We walked uphill for nearly an hour.|我们上坡走了将近一个小时。|(Adverb) Towards higher ground; upwards on a slope.|向更高的地面；在斜坡上向上。|uphill|adverb||
succeed|If you work hard, you can {{c1::succeed}} in anything.|If you work hard, you can succeed in anything.|如果你努力，你可以在任何事情上取得成功。|To achieve the desired aim or result.|达到预期目标或结果。|succeed|verb|achieve, accomplish|fail, lose
gender|The study explores how {{c1::gender}} influences career choices.|The study explores how gender influences career choices.|该研究探讨了性别如何影响职业选择。|The state of being male, female, or another identity, often used with reference to social and cultural differences.|指男性、女性或其他身份，通常与社会和文化差异有关。|gender|noun|sex, identity|
consecutive|He won the race for three {{c1::consecutive}} years.|He won the race for three consecutive years.|他连续三年赢得了这场比赛。|Following continuously; in unbroken or logical sequence.|连续的；按顺序保持不间断。|consecutive|adjective|sequential, serial|interrupted, discontinuous
diversion|Reading can be a pleasant {{c1::diversion}} from work.|Reading can be a pleasant diversion from work.|阅读可以成为工作之余的愉快消遣。|An action or event that diverts the mind from tedious or serious concerns; a recreation or pastime.|使人从繁琐或严肃的事情上分心的活动或事件；消遣或娱乐。|diversion|noun|distraction, entertainment|focus, concentration
donate|I plan to {{c1::donate}} to the children's hospital.|I plan to donate to the children's hospital.|我打算向儿童医院捐款。|To give money or goods for a good cause, for example to a charity.|为慈善等站点目的捐款或捐赠物品。|donate|verb|contribute, give|withhold, keep
defence|Their strong {{c1::defence}} frustrated the attacking team.|Their strong defence frustrated the attacking team.|他们坚固的防线让进攻球队非常头疼。|The action of defending from or resisting attack.|阻止或抵抗攻击的行为。|defence|noun|protection, shield|attack, assault
volumes|That encyclopedia has 20 {{c1::volumes}}.|That encyclopedia has 20 volumes.|那套百科全书共有20卷。|A book forming part of a work or series.|由多卷组成的系列中的一卷书。|volume|noun|tome, book|
volume|Measure the {{c1::volume}} of the liquid using the beaker.|Measure the volume of the liquid using the beaker.|用烧杯测量液体的体积。|The amount of space that a substance or object occupies.|某种物质或物体占据的空间量。|volume|noun|capacity, size|
refund|I requested a {{c1::refund}} because the product was defective.|I requested a refund because the product was defective.|由于产品有缺陷，我申请了退款。|A repayment of a sum of money.|退回的款项。|refund|noun|repayment, reimbursement|
refund|The company will {{c1::refund}} your purchase if you are not satisfied.|The company will refund your purchase if you are not satisfied.|如果你不满意，公司将退还你的购买金额。|To pay back money received.|退还已收取的款项。|refund|verb|repay, return|
regardless|We will continue the project {{c1::regardless}} of the difficulties.|We will continue the project regardless of the difficulties.|无论困难如何，我们都会继续这个项目。|Without paying attention to the present situation; despite the prevailing circumstances.|不顾当前情况；尽管形势如此。|regardless|adverb|anyway, nonetheless|
emboss|They {{c1::emboss}} the company logo on every notebook.|They emboss the company logo on every notebook.|他们在每本笔记本上都压印了公司徽标。|To carve, mold, or stamp a design on a surface so that it stands out.|在表面进行雕刻、模制或冲压，使其突出。|emboss|verb|engrave, imprint|
internationalist|As an {{c1::internationalist}}, she supports global initiatives for peace.|As an internationalist, she supports global initiatives for peace.|作为一名国际主义者，她支持全球和平倡议。|A person who advocates or believes in cooperation and understanding between nations.|主张或相信国际合作与理解的人。|internationalist|noun|globalist, cosmopolitan|nationalist
scattered|The wind {{c1::scattered}} the leaves across the yard.|The wind scattered the leaves across the yard.|风把树叶吹得满院子都是。|To throw in various random directions.|向各个随机方向抛洒或分散。|scatter|verb|disperse, spread|collect, gather
appetite|He lost his {{c1::appetite}} after feeling unwell.|He lost his appetite after feeling unwell.|他感觉不舒服后就没了食欲。|A natural desire to satisfy a bodily need, especially for food.|对满足身体需求，尤其是食物的渴望。|appetite|noun|hunger, desire|
prevail|In the end, justice will {{c1::prevail}}.|In the end, justice will prevail.|最终，正义会取得胜利。|To prove more powerful or superior; to be widespread or current.|表现得更强大或更优越；普遍存在或流行。|prevail|verb|triumph, overcome|lose, fail
glossary|Check the {{c1::glossary}} for unfamiliar terms.|Check the glossary for unfamiliar terms.|对于不熟悉的词汇，请查阅词汇表。|An alphabetical list of words relating to a specific subject, text, or dialect, with explanations; a brief dictionary.|与特定学科、文本或方言相关的术语按字母顺序排列并附解释的列表；简要词典。|glossary|noun|wordlist, lexicon|
consolidation|The company’s {{c1::consolidation}} of its brands minimized expenses.|The company’s consolidation of its brands minimized expenses.|该公司对品牌进行整合后减少了开支。|The action or process of making something stronger or more solid.|使某事物变得更牢固或稳定的行为或过程。|consolidation|noun|strengthening, unification|division, separation
sulphuric|{{c1::sulphuric}} acid is highly corrosive.|Sulphuric acid is highly corrosive.|硫酸具有很强的腐蚀性。|Relating to or containing sulphur, especially with a valence of six.|与硫相关或含有硫的，尤其是价态为六价时。|sulphuric|adjective||
goodwill|They donated supplies out of {{c1::goodwill}}.|They donated supplies out of goodwill.|他们出于善意捐赠物资。|Friendly, helpful, or cooperative feelings or attitude.|友好、乐于助人或合作的心态或态度。|goodwill|noun|kindness, benevolence|hostility, malevolence
amass|He managed to {{c1::amass}} a great fortune.|He managed to amass a great fortune.|他成功积累了大量财产。|To gather together or accumulate over a period of time.|在一段时间内收集或积累。|amass|verb|collect, gather|disperse, scatter
federal|He works for the {{c1::federal}} government.|He works for the federal government.|他在联邦政府工作。|Having or relating to a system of government in which several states form a unity but remain independent in internal affairs.|指在若干州组成统一体且在内部事务上仍保持独立的政府体系或与之相关的。|federal|adjective|national, governmental|local, regional
consideration|After much {{c1::consideration}}, they decided to adopt the proposal.|After much consideration, they decided to adopt the proposal.|经过充分考量后，他们决定采纳该提案。|Careful thought, typically over a period of time.|经过一段时间的仔细思考。|consideration|noun|thought, deliberation|disregard, neglect
grip|He maintained a strong {{c1::grip}} on the steering wheel.|He maintained a strong grip on the steering wheel.|他紧紧握住方向盘。|A firm hold; a tight grasp.|牢牢抓住；紧抓。|grip|noun|hold, clutch|
gripped|Fear {{c1::gripped}} her, but she continued forward.|Fear gripped her, but she continued forward.|她被恐惧紧紧困住，但仍继续前行。|To hold tightly.|牢牢地握住。|grip|verb|clench, grasp|
mansion|The old {{c1::mansion}} dates back to the 18th century.|The old mansion dates back to the 18th century.|这座古老的豪宅可以追溯到18世纪。|A large, impressive house.|宏伟而气派的大房子。|mansion|noun|manor, estate|
galaxy|The Milky Way is the {{c1::galaxy}} that contains our Solar System.|The Milky Way is the galaxy that contains our Solar System.|银河系是包含我们太阳系的星系。|A system of millions or billions of stars, together with gas and dust, held together by gravitational attraction.|由数百万或数十亿颗恒星以及气体和尘埃构成的系统，因引力而聚合。|galaxy|noun||
route|We took the scenic {{c1::route}} to enjoy the view.|We took the scenic route to enjoy the view.|我们选择了一条风景优美的路线来欣赏风景。|A way or course taken in getting from a starting point to a destination.|从起点到目的地所采取的路径或路线。|route|noun|path, course|
deficiency|He developed anemia due to an iron {{c1::deficiency}}.|He developed anemia due to an iron deficiency.|由于缺铁，他患上了贫血。|A lack or shortage, especially of something essential to health.|缺乏或不足，尤其是对健康至关重要的事物。|deficiency|noun|lack, shortage|abundance, surplus
opposite|They have {{c1::opposite}} views on the matter.|They have opposite views on the matter.|他们在这个问题上持相反观点。|Having a position on the other or further side of something; completely different.|位于某物的另一面或更远的一面；完全不同。|opposite|adjective|contrary, reverse|similar, like
sensational|The play received {{c1::sensational}} reviews.|The play received sensational reviews.|这部戏剧获得了轰动性的好评。|Causing great public interest and excitement.|引起极大公众兴趣和兴奋的。|sensational|adjective|astonishing, startling|ordinary, unimpressive
participation|Your active {{c1::participation}} is crucial for the success of the event.|Your active participation is crucial for the success of the event.|你积极的参与对活动的成功至关重要。|The action of taking part in something.|参与某事的行为。|participation|noun|involvement, engagement|exclusion, absence
relief|It was such a {{c1::relief}} to hear that she was safe.|It was such a relief to hear that she was safe.|听到她安全的消息真是一种宽慰。|A feeling of reassurance and relaxation following release from anxiety or distress.|从焦虑或紧张中释放后的安心和放松感。|relief|noun|comfort, respite|stress, anxiety
cultivation|{{c1::cultivation}} of this field has greatly improved the harvest.|Cultivation of this field has greatly improved the harvest.|对这片田地的耕作大大提高了产量。|The act of preparing and using land for growing crops.|准备和使用土地来种植作物的行为。|cultivation|noun|farming, tilling|neglect
pretension|His {{c1::pretension}} of being an expert was obvious to everyone.|His pretension of being an expert was obvious to everyone.|他自称为专家的样子对所有人都显而易见。|An attitude of conceit or display, often unwarranted.|一种常常不合理的自负或炫耀。|pretension|noun|affectation, showiness|humility, modesty
harness|He adjusted the {{c1::harness}} on the horse before riding.|He adjusted the harness on the horse before riding.|他在骑马前调整了马具。|A set of straps used on an animal to control it.|用在动物身上以控制它的一组带子。|harness|noun|tackle, strap|
harness|We must {{c1::harness}} solar energy to meet our needs.|We must harness solar energy to meet our needs.|我们必须利用太阳能来满足需求。|To control and use the natural force or power of something.|控制并利用某物的自然力量或能量。|harness|verb|utilize, employ|ignore, neglect
bent|The wire was {{c1::bent}} after being stepped on.|The wire was bent after being stepped on.|那根金属丝被踩过后就弯了。|Curved or twisted from a straight shape.|从直的形状变得弯曲或扭曲。|bent|adjective|curved, bowed|straight
bent|He has a {{c1::bent}} for mathematics.|He has a bent for mathematics.|他有数学方面的天赋。|A natural talent or inclination.|一种天生的才能或倾向。|bent|noun|inclination, tendency|
dormitory|She lived in the {{c1::dormitory}} during her first year at college.|She lived in the dormitory during her first year at college.|大学第一年时她住在宿舍里。|A large bedroom for multiple people in a school or institution.|在学校或机构里供多人使用的大寝室。|dormitory|noun|residence hall, hostel|
stitch|There was a loose {{c1::stitch}} on his shirt.|There was a loose stitch on his shirt.|他的衬衫上有一针开线了。|A single movement of a threaded needle in sewing.|在缝纫时，穿有线的针进行的一次动作。|stitch|noun|sew, loop|
stitched|She {{c1::stitched}} the torn pocket back onto the coat.|She stitched the torn pocket back onto the coat.|她把撕裂的口袋缝回了外套上。|To sew or fasten something with thread or a needle.|用针线缝合或固定某物。|stitch|verb|sew, mend|
manual|He prefers a {{c1::manual}} transmission in his car.|He prefers a manual transmission in his car.|他更喜欢自己的汽车使用手动变速箱。|Operated by hand rather than automatically.|由人手操作而非自动化的。|manual|adjective|hand-operated, physical|automatic, mechanical
manual|Read the user {{c1::manual}} before operating the device.|Read the user manual before operating the device.|使用该设备前请先阅读用户手册。|A book of instructions or information.|提供指南或信息的书籍。|manual|noun|handbook, guide|
mites|{{c1::mites}} can cause irritation in both humans and pets.|Mites can cause irritation in both humans and pets.|螨虫可能会对人和宠物造成刺激。|A very small arachnid that can infest animals or plants.|一种非常小的蛛形纲动物，可寄生于动植物。|mite|noun|tick|
burglar|The {{c1::burglar}} was caught by the security camera.|The burglar was caught by the security camera.|盗贼被监控摄像头拍到了。|A person who illegally enters buildings and steals things.|非法闯入房屋并进行盗窃的人。|burglar|noun|thief, robber|
scheme|They launched a {{c1::scheme}} to improve the city's public transport.|They launched a scheme to improve the city's public transport.|他们启动了一项改善城市公共交通的方案。|A large-scale plan or arrangement for attaining a particular object or goal.|为实现某个目标而进行的大规模计划或安排。|scheme|noun|plan, strategy|
schemed|They {{c1::schemed}} to take over the company.|They schemed to take over the company.|他们密谋接管公司。|To make plans, especially in a devious way or with intent to do something illegal or wrong.|制定计划，尤指暗中或具有不正当意图的。|scheme|verb|plot, conspire|cooperate, collaborate
addition|His quick mental {{c1::addition}} improved over the years.|His quick mental addition improved over the years.|他的心算加法多年来不断提高。|The process of adding numbers or amounts together.|将数字或数量相加的过程。|addition|noun|sum, total|
sensory|Music can stimulate a strong {{c1::sensory}} response.|Music can stimulate a strong sensory response.|音乐可以激发强烈的感官反应。|Relating to sensation or the physical senses.|与感觉或物理感官相关的。|sensory|adjective|perceptual|
grove|They planted a small olive {{c1::grove}} behind the house.|They planted a small olive grove behind the house.|他们在房子后面种了一小片橄榄树林。|A small group of trees growing together.|一起生长的一小片树林。|grove|noun|orchard, woodland|
materialistic|He led a {{c1::materialistic}} lifestyle, always seeking luxury.|He led a materialistic lifestyle, always seeking luxury.|他过着物质至上的生活方式，总是在追求奢华。|Excessively concerned with material possessions or money.|过度关注物质财产或金钱的。|materialistic|adjective|consumerist|spiritual, idealistic
detach|Please {{c1::detach}} the form at the bottom of the page before mailing.|Please detach the form at the bottom of the page before mailing.|请在邮寄前将页面底部的表格撕下。|To separate or remove something from a larger thing.|将某物从一个更大的事物上分离或取下。|detach|verb|separate, disconnect|attach, connect
torrent|The heavy rain turned the small river into a {{c1::torrent}}.|The heavy rain turned the small river into a torrent.|大雨把那条小河变成了汹涌的急流。|A strong and fast-moving stream of water or other liquid.|一种强烈且快速流动的水流或其他液体。|torrent|noun|flood, stream|
clarify|He asked the teacher to {{c1::clarify}} a tricky point in the lesson.|He asked the teacher to clarify a tricky point in the lesson.|他请老师解释课上一个难点。|To make a statement or situation less confused and more comprehensible.|使陈述或情况更清晰易懂。|clarify|verb|explain, elucidate|confuse, obscure
thirsty|After jogging for an hour, I was very {{c1::thirsty}}.|After jogging for an hour, I was very thirsty.|慢跑一小时后，我非常口渴。|Feeling a need to drink something.|感到需要喝水。|thirsty|adjective|parched|hydrated
inspect|The mechanic will {{c1::inspect}} the car for any faults.|The mechanic will inspect the car for any faults.|技师会检查汽车是否有任何故障。|To look at something or someone carefully in order to discover information.|为了获取信息而仔细地观察某物或某人。|inspect|verb|examine, check|ignore
seam|The {{c1::seam}} on the shoulder of my shirt ripped.|The seam on the shoulder of my shirt ripped.|我衬衫肩膀上的接缝撕开了。|A line where two pieces of fabric are sewn together.|将两块布料缝在一起所形成的线。|seam|noun|join, line|
seamed|She {{c1::seamed}} the patch to the torn jeans.|She seamed the patch to the torn jeans.|她把补丁缝到了破洞牛仔裤上。|To join two pieces of material along a line by sewing.|在一条线上将两块材料缝合在一起。|seam|verb|stitch, join|
agriculture|She studied {{c1::agriculture}} at the university.|She studied agriculture at the university.|她在大学里学习农业。|The science or practice of farming.|从事耕种或饲养牲畜的科学或实践。|agriculture|noun|farming|
microcosm|The classroom is a {{c1::microcosm}} of society at large.|The classroom is a microcosm of society at large.|教室是整个社会的一个缩影。|A community, place, or situation regarded as encapsulating in miniature the characteristic qualities or features of something much larger.|一个被视为更大事物的特征或品质缩影的社区、地方或情形。|microcosm|noun|miniature world, small-scale model|macrocosm
surgery|He needed emergency {{c1::surgery}} to stop the internal bleeding.|He needed emergency surgery to stop the internal bleeding.|他需要紧急手术来止住内出血。|The treatment of injuries or disorders of the body by incision or manipulation.|通过切开或操作来治疗人体伤病的方式。|surgery|noun|operation, procedure|
catastrophe|The earthquake was a major {{c1::catastrophe}} for the region.|The earthquake was a major catastrophe for the region.|地震对这个地区来说是一场重大灾难。|An event causing great and often sudden damage or suffering.|造成极大且往往突然的破坏或痛苦的事件。|catastrophe|noun|disaster, calamity|blessing
overwork|He fell ill due to {{c1::overwork}} and stress.|He fell ill due to overwork and stress.|他因过度工作和压力而生病了。|Excessive work or the act of working too much.|过度劳动或工作的行为。|overwork|noun|overexertion, strain|
overwork|They {{c1::overwork}} their employees by making them do twelve-hour shifts.|They overwork their employees by making them do twelve-hour shifts.|他们让员工超时工作，每班要做十二个小时。|To cause someone to work too much.|使某人工作过度。|overwork|verb|exhaust, strain|
parental|She received a lot of {{c1::parental}} support during her studies.|She received a lot of parental support during her studies.|她在学习期间得到了很多父母的支持。|Relating to a person's parent or parents.|与父母有关的。|parental|adjective|maternal, paternal|
sediment|There was a layer of {{c1::sediment}} at the bottom of the bottle.|There was a layer of sediment at the bottom of the bottle.|瓶子底部有一层沉积物。|Matter that settles to the bottom of a liquid; dregs.|沉积在液体底部的物质；渣滓。|sediment|noun|deposit, residue|
sediment|Over time, mud and stones {{c1::sediment}} in the riverbed.|Over time, mud and stones sediment in the riverbed.|随着时间的推移，泥土和石块沉积在河床中。|To settle as sediment.|以沉积物的形式沉淀。|sediment|verb|settle, deposit|
various|The festival showcased {{c1::various}} cultural performances.|The festival showcased various cultural performances.|这个节日展示了各种各样的文化表演。|Different from one another; of different kinds or sorts.|彼此不同；不同种类或类型的。|various|adjective|diverse, distinct|similar, identical
resit|He has to {{c1::resit}} the math exam next week.|He has to resit the math exam next week.|他下周得重考数学。|To take an examination again after failing it before.|在之前没通过后再次参加考试。|resit|verb|retake, redo|
menace|Pollution is a {{c1::menace}} to our environment.|Pollution is a menace to our environment.|污染对我们的环境构成了威胁。|A person or thing that is likely to cause harm; a threat or danger.|可能会造成危害的人或事物；威胁或危险。|menace|noun|threat, danger|
menaced|The criminal {{c1::menaced}} the witness to keep silent.|The criminal menaced the witness to keep silent.|罪犯威胁目击者保持沉默。|To threaten or endanger.|威胁或使处于危险之中。|menace|verb|threaten, intimidate|
contain|These files {{c1::contain}} sensitive information.|These files contain sensitive information.|这些文件包含敏感信息。|To hold or have within something|装有，包含|contain|verb|hold, enclose|release, exclude
contain|He tried to {{c1::contain}} his anger during the meeting.|He tried to contain his anger during the meeting.|他在会议中努力控制他的怒火。|To keep under control or within limits|控制或抑制在范围内|contain|verb|restrain, control|unleash, free
fasten|Please {{c1::fasten}} your seatbelt before the car starts.|Please fasten your seatbelt before the car starts.|汽车启动前请系好安全带。|To make or become firmly attached|使牢固或紧密连接|fasten|verb|attach, secure|loosen, detach
fasten|{{c1::fasten}} the buttons on your coat, it's cold outside.|Fasten the buttons on your coat, it's cold outside.|把外套的扣子扣好，外面很冷。|To fix or close securely|固定或紧闭|fasten|verb|close, lock|open, unfasten
established|They {{c1::established}} a new research center last year.|They established a new research center last year.|他们去年建立了一个新的研究中心。|To set up or found something permanently|建立或创立某事物|establish|verb|found, set up|abolish, dissolve
established|She quickly {{c1::established}} herself as a reliable leader.|She quickly established herself as a reliable leader.|她很快地确立了自己可靠领导者的地位。|To cause something or someone to be widely accepted|使某物或某人被广泛接受|establish|verb|confirm, entrench|disprove, invalidate
position|She found a good {{c1::position}} for the lamp on the desk.|She found a good position for the lamp on the desk.|她在桌子上给灯找了一个好位置。|A place where something or someone is located or has been put|某物或某人所在或被放置的位置|position|noun|location, place|displacement, misplacement
positioned|We {{c1::positioned}} the chairs in a circle.|We positioned the chairs in a circle.|我们把椅子摆成一个圆圈。|To put something or someone in a particular place|将某物或某人放置在特定位置|position|verb|place, locate|remove, misplace
simulate|We used a software to {{c1::simulate}} flight conditions.|We used a software to simulate flight conditions.|我们使用软件来模拟飞行条件。|To imitate the appearance or character of something|模仿某物的外观或特征|simulate|verb|imitate, replicate|realize, originate
simulated|They {{c1::simulated}} an emergency evacuation during the drill.|They simulated an emergency evacuation during the drill.|他们在演习中模拟了一次紧急疏散。|To model a situation for study or training|为研究或培训而模拟一场情境|simulate|verb|model, mirror|ignore, neglect
scratch|Don't {{c1::scratch}} the table with your keys.|Don't scratch the table with your keys.|不要用钥匙划伤桌子。|To cut or damage a surface lightly with something sharp|用锐器轻微地割或划某表面|scratch|verb|scrape, score|polish, heal
scratch|There's a {{c1::scratch}} on the car door.|There's a scratch on the car door.|车门上有一道划痕。|A cut or mark made by scratching|由划伤产生的割痕或印记|scratch|noun|mark, scuff|smoothness, gloss
flexitime|The company introduced {{c1::flexitime}} to accommodate parents.|The company introduced flexitime to accommodate parents.|公司引入了弹性工作制以方便有孩子的员工。|A system of working in which employees can vary their start and finish times|一种员工可灵活安排工作开始和结束时间的制度|flexitime|noun|flexible hours, flextime|fixed hours, rigid schedule
flexitime|Employees enjoy better work-life balance under {{c1::flexitime}}.|Employees enjoy better work-life balance under flexitime.|在弹性工作制下，员工享有更好的工作与生活平衡。|A working arrangement where core hours are fixed, but the rest is flexible|一种工作安排，核心工作时段固定，其余时间灵活|flexitime|noun|flex schedule, adjustable working hours|strict schedule, unchangeable hours
assist|Could you {{c1::assist}} me with these boxes?|Could you assist me with these boxes?|你能帮我搬这些箱子吗？|To help someone or something|帮助某人或某事|assist|verb|help, aid|hinder, obstruct
assist|New software can {{c1::assist}} in data analysis.|New software can assist in data analysis.|新软件可以帮助进行数据分析。|To facilitate the progress or improvement of something|促进或改善某事的进展|assist|verb|support, contribute|impede, oppose
mammals|Humans are classified as {{c1::mammals}}.|Humans are classified as mammals.|人类被归类为哺乳动物。|A warm-blooded vertebrate animal that has hair or fur and whose young feed on milk|一种温血脊椎动物，具有毛发或皮毛，其幼崽以乳汁喂养|mammal|noun|creature, animal|reptile, amphibian
mammals|Bats and dolphins are both {{c1::mammals}}.|Bats and dolphins are both mammals.|蝙蝠和海豚也都是哺乳动物。|An animal belonging to the class Mammalia|属于哺乳纲的动物|mammal|noun|organism, vertebrate|insect, bird
illegal|It is {{c1::illegal}} to drive without a license.|It is illegal to drive without a license.|无证驾驶是违法的。|Not allowed by law|不被法律允许的|illegal|adjective|unlawful, illicit|legal, lawful
illegal|His {{c1::illegal}} actions led to a serious fine.|His illegal actions led to a serious fine.|他的非法行为导致了大额罚款。|Contrary to or forbidden by official rules or regulations|与官方规则或法规相抵触或被其禁止的|illegal|adjective|prohibited, outlawed|authorized, permitted
ultimately|{{c1::ultimately}}, we decided to take the train.|Ultimately, we decided to take the train.|最终，我们决定乘火车。|Finally, after a series of things have happened|最终，在一系列事件之后|ultimately|adverb|finally, eventually|initially, immediately
ultimately|{{c1::ultimately}}, it's your choice to make.|Ultimately, it's your choice to make.|归根结底，这是你的选择。|At the most basic level or fundamental essence|在最基本或根本的层面上|ultimately|adverb|basically, essentially|superficially, temporarily
sinew|The hunter used animal {{c1::sinew}} to tie the spearhead.|The hunter used animal sinew to tie the spearhead.|猎人用动物的肌腱来绑住矛头。|A piece of tough fibrous tissue uniting muscle to bone|连接肌肉和骨头的坚韧纤维组织|sinew|noun|tendon, ligament|weakness, fragility
sinews|The {{c1::sinews}} of the economy were tested during the crisis.|The sinews of the economy were tested during the crisis.|在危机期间，经济的根基受到了考验。|Strength or power; often used figuratively|力量或力量的象征；常用于比喻|sinew|noun|power, vigor|feebleness, weakness
artificial|They use {{c1::artificial}} light in the greenhouse.|They use artificial light in the greenhouse.|他们在温室里使用人造光。|Made or produced by human beings rather than occurring naturally|由人类制造或生产，而非自然产生|artificial|adjective|synthetic, man-made|natural, organic
artificial|His smile seemed a bit {{c1::artificial}}.|His smile seemed a bit artificial.|他的笑容看起来有点假。|Not genuine or sincere; fake|不真实或不真诚的；假的|artificial|adjective|phony, fabricated|authentic, sincere
veil|The bride wore a white {{c1::veil}} at the wedding.|The bride wore a white veil at the wedding.|新娘在婚礼上戴着白色的头纱。|A piece of thin material worn on the face or head|戴在脸上或头上的一块薄面料|veil|noun|covering, shawl|exposure, revelation
veiled|Mist {{c1::veiled}} the mountains in the morning.|Mist veiled the mountains in the morning.|清晨薄雾笼罩着山峦。|To cover something with a veil or to conceal|用面纱覆盖或掩饰某物|veil|verb|conceal, shroud|display, uncover
tend|Women {{c1::tend}} to live longer than men.|Women tend to live longer than men.|女性往往比男性寿命更长。|To be likely to behave in a certain way|往往会以某种方式表现|tend|verb|incline, lean|disregard, avoid
tends|He {{c1::tends}} the garden every morning.|He tends the garden every morning.|他每天早上照料花园。|To care for or look after someone or something|照顾或看护某人或某物|tend|verb|care for, nurture|neglect, ignore
removal|The {{c1::removal}} of the old fence improved the view.|The removal of the old fence improved the view.|拆除旧围栏后视野更好了。|The act of taking something or someone away|移走某物或某人的行为|removal|noun|taking away, elimination|addition, placement
removal|His {{c1::removal}} from the board was unexpected.|His removal from the board was unexpected.|他被董事会免职是出乎意料的。|Dismissal from an office or position|从职务或职位上被罢免|removal|noun|dismissal, discharge|appointment, installation
parallel|The two roads are perfectly {{c1::parallel}}.|The two roads are perfectly parallel.|这两条道路完全平行。|Of lines, planes, or surfaces side by side and having the same distance continuously between them|指线、平面或表面并排且始终保持相同距离|parallel|adjective|aligned, equidistant|intersecting, converging
